City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,badger,64.8,-147.5333,19.27,86,100,3.44,US,1699660265
1,sao vicente,-23.9631,-46.3919,78.28,26,86,4.09,BR,1699659997
2,afaahiti,-17.75,-149.2833,84.07,83,97,10.83,PF,1699660268
3,whitehorse,60.7161,-135.0538,32.77,86,100,5.75,CA,1699660130
4,hithadhoo,-0.6,73.0833,80.37,84,89,13.82,MV,1699660270
5,angra do heroismo,38.65,-27.2167,72.21,99,75,15.99,PT,1699660271
6,papao,-17.75,-149.55,85.68,76,98,7.45,PF,1699660051
7,i-n-salah,27.1935,2.4607,72.86,36,66,13.42,DZ,1699660070
8,severnoye,56.3491,78.3619,32.99,99,100,5.01,RU,1699660281
9,colac,-38.3333,143.5833,60.17,41,78,11.52,AU,1699660283
10,iqaluit,63.7506,-68.5145,19.13,68,100,5.75,CA,1699659999
11,gargalianoi,37.0667,21.6333,60.35,81,72,6.62,GR,1699660288
12,grytviken,-54.2811,-36.5092,35.8,85,63,11.77,GS,1699659974
13,akureyri,65.6835,-18.0878,21.13,86,0,0.0,IS,1699660295
14,waitangi,-43.9535,-176.5597,54.82,72,98,3.0,NZ,1699660016
15,stephenville,32.2207,-98.2023,56.25,87,100,10.36,US,1699660301
16,hawaiian paradise park,19.5933,-154.9731,80.87,74,100,16.11,US,1699660044
17,saint-leu,-21.15,55.2833,75.96,93,67,6.06,RE,1699660306
18,edinburgh of the seven seas,-37.0676,-12.3116,58.84,91,99,23.78,SH,1699659975
19,college,64.8569,-147.8028,19.35,86,100,3.44,US,1699660310
20,pisco,-13.7,-76.2167,68.05,77,0,19.57,PE,1699660078
21,puerto lempira,15.2667,-83.7667,80.74,78,40,0.0,HN,1699660314
22,san andres,12.5847,-81.7006,82.42,78,20,11.5,CO,1699660316
23,codrington,-38.2667,141.9667,61.2,55,72,15.17,AU,1699660318
24,tolanaro,-25.0319,46.9987,66.27,82,40,6.91,MG,1699660198
25,port-aux-francais,-49.35,70.2167,37.8,96,100,36.17,TF,1699660032
26,iskateley,67.6803,53.1512,16.02,93,76,7.0,RU,1699660328
27,thompson,55.7435,-97.8558,30.36,86,100,8.05,CA,1699659830
28,funafuti,-8.5243,179.1942,87.8,89,40,4.61,TV,1699660335
29,yellowknife,62.456,-114.3525,37.42,98,75,8.05,CA,1699659815
30,kone,-21.0595,164.8658,82.13,42,73,6.58,NC,1699660342
31,albany,42.6001,-73.9662,46.81,64,57,1.01,US,1699659738
32,adamstown,-25.066,-130.1015,73.13,79,2,11.52,PN,1699659972
33,usinsk,65.9939,57.5281,22.06,81,99,5.01,RU,1699660355
34,puerto natales,-51.7236,-72.4875,41.5,94,100,6.02,CL,1699659778
35,zomba,-15.386,35.3188,65.61,91,61,3.24,MW,1699660364
36,valparaiso,-33.0393,-71.6273,59.23,94,100,6.91,CL,1699660324
37,haiku-pauwela,20.9219,-156.3051,82.42,61,40,14.97,US,1699660370
38,bamboo flat,11.7,92.7167,77.09,94,40,0.0,IN,1699660374
39,agropoli,40.3469,14.9966,56.08,83,96,19.06,IT,1699660378
40,tupi paulista,-21.3811,-51.5706,87.12,30,85,7.4,BR,1699660380
41,bethel,41.3712,-73.414,48.65,68,0,3.44,US,1699659723
42,tashtagol,52.7657,87.8894,36.52,99,100,3.0,RU,1699660387
43,kokoda,-8.8785,147.7407,87.78,40,90,0.29,PG,1699660390
44,constantia,44.1833,28.65,54.7,79,100,14.41,RO,1699660259
45,'alaqahdari dishu,30.4374,63.313,56.8,28,0,1.7,AF,1699660396
46,dalandzadgad,43.5708,104.425,13.28,31,0,9.73,MN,1699660398
47,port augusta,-32.5,137.7667,73.74,51,38,19.75,AU,1699660401
48,utrik,11.2278,169.8474,82.11,82,100,20.51,MH,1699660405
49,papatowai,-46.5619,169.4708,63.82,39,0,3.56,NZ,1699660093
50,kodiak,57.79,-152.4072,35.11,51,20,19.57,US,1699660164
51,longyearbyen,78.2186,15.6401,13.84,73,75,6.91,SJ,1699660416
52,kalemie,-5.9475,29.1947,71.87,86,99,5.17,CD,1699660419
53,port alfred,-33.5906,26.891,67.06,88,25,3.65,ZA,1699660017
54,avarua,-21.2078,-159.775,80.65,83,100,8.05,CK,1699660427
55,homosassa springs,28.8036,-82.5759,76.23,84,75,0.0,US,1699660432
56,carnarvon,-24.8667,113.6333,71.83,63,84,18.43,AU,1699660089
57,jamestown,42.097,-79.2353,47.79,81,20,8.05,US,1699660052
58,aasiaat,68.7098,-52.8699,15.73,93,99,5.93,GL,1699660445
59,saipan,15.1355,145.701,86.7,70,40,20.71,MP,1699660448
60,bardai,11.65,7.2333,73.49,22,72,5.64,NG,1699660451
61,ulladulla,-35.35,150.4667,89.76,46,15,11.27,AU,1699660454
62,kailua-kona,19.6406,-155.9956,84.16,69,40,11.5,US,1699660457
63,anadyr,64.75,177.4833,7.3,78,75,13.42,RU,1699659997
